684	641	733	423
684	641	645	751
684	641	122	301
684	641	948	813
434	952	400	981
434	952	583	980
944	536	957	558
944	536	976	420
957	558	953	695
953	695	948	813
948	813	971	956
971	956	583	980
645	751	592	790
592	790	434	952
122	301	379	552
379	552	337	536
337	536	117	664
117	664	124	728
494	109	703	65
703	65	688	163
688	163	494	109
494	109	449	61
494	109	286	84
311	225	212	241
212	241	112	261
112	261	161	125
161	125	311	225
161	125	286	84
733	423	856	335
856	335	921	347
921	347	976	420
921	347	962	280
688	163	733	423
688	163	856	335
339	731	400	981
