484	641	488	513
484	641	245	551
245	551	191	481
191	481	107	558
107	558	122	101
107	558	103	795
107	558	312	741
103	795	202	980
312	741	209	731
202	980	292	890
292	890	334	942
334	942	434	852
434	852	456	835
334	942	434	952
434	952	586	984
586	984	749	961
749	961	853	865
749	961	735	756
735	756	484	641
488	513	467	324
467	324	476	250
476	250	637	136
735	756	913	739
913	739	921	347
913	739	883	580
883	580	868	513
868	513	824	328
824	328	979	152
979	152	637	136
484	641	311	455
311	455	311	425
311	425	344	336
476	250	122	101

