1	640	943	122
2	139	638	-145
3	244	176	-118
4	222	639	-160
5	563	553	-228
6	465	818	-447
7	900	277	-274
8	202	457	-22
9	352	267	-411
10	642	559	237
11	249	198	173
12	809	238	-230
13	138	382	-144
14	302	504	455
15	609	968	-41
16	854	432	-244
17	902	332	-47
18	205	434	350
19	635	687	-465
20	716	329	45
21	478	478	155
22	184	287	309
23	428	325	-378
24	748	528	72
25	708	136	36
26	220	891	405
27	450	792	-338
28	858	898	34
29	723	532	-314
30	755	248	-59
31	345	627	362
32	936	711	-431
33	763	138	-181
34	874	787	295
35	488	494	335
36	971	614	213
37	885	965	-18
38	131	823	-133
39	612	546	348
40	780	300	-488
41	276	546	97
42	151	481	-224
43	213	244	-182
44	501	117	-419
45	316	506	19
46	168	476	-410
47	810	361	-449
48	343	393	355
49	674	905	-151
50	538	685	72
51	549	861	-433
52	186	913	-10
53	434	126	151
54	721	528	170
55	794	745	-379
56	361	813	40
57	442	623	330
58	488	867	-345
59	357	541	-451
60	672	979	200
61	286	527	45
62	347	613	-52
63	788	948	-22
64	474	668	454
65	176	462	170
66	285	724	-38
67	771	166	-458
68	618	555	395
69	759	812	-116
70	803	483	-140
71	532	670	334
72	123	917	-96
73	526	705	-155
74	957	178	477
75	915	255	-121
76	617	441	-428
77	133	211	-355
78	171	730	151
79	977	488	-58
80	422	291	368
81	746	724	1
82	597	747	-92
83	960	273	-420
84	371	230	-333
85	350	144	-160
86	691	662	219
87	756	695	343
88	888	767	43
89	573	744	475
90	971	166	-313
91	852	812	381
92	402	409	99
93	770	368	292
94	842	640	437
95	993	890	486
96	398	580	110
97	145	336	-229
98	904	224	-488
99	492	697	228
100	469	667	301
